pwd,"it prints the path of the working directory, starting from the root"
rm,"used to remove objects such as files, directories, symbolic links and so on from the file system like UNIX"
man,"used to display the user manual of any command that we can run on the terminal"
kill,"used to terminate processes manually. kill command sends a signal to a process which terminates the process"
alias,"instructs the shell to replace one string with another string while executing the commands"
exit,"used to exit the shell where it is currently running"
ls,"lists all of the files and directories under a specified directory"
cp,"used to copy files or group of files or directory"
g++,"used for preprocessing, compliation, assembly and linking of source code to generate an executable file"
top,"provides a dynamic real-time view of the running system"
chown,"used to change the file owner or group"
clear,"used to clear the terminal screen"
cd,"known as change directory command. It is used to change current working directory"
mv,"used to move one or more files or directories from one place to another in file system like UNIX"
gcc,"GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++"
who,"used to get information about currently logged in user on to system"
df,"used to display information related to file systems about total space and available space"
find,"used to find files and directories and perform subsequent opertaions on them"
mkdir,"allows the user to create directories. This command can create multiple directories at once"
ssh,"protocol used to securely connect to a remote server/system"
make,"is an automatic process of creating and compiling an application by reading the makefile"
chmod,"used to change the access mode of a file"
grep,"searches a file for a particular pattern of characters, and displays all line that contain that pattern"
finger,"it is a user information lookup command which gives details of all the users logged in"
rmdir,"used to remove empty directories from the filesystem in Linux"
scp,"used to copu file(s) between servers in a secure way"
ps,"used to list the currently running processes and their PIDs along with some other information depends on different options"
cat,"reads data from file and gives their content as output. It helps us to create, view, concatenate files"
echo,"used to display line of text/string that are passed as an argument"
free,"displays the total amount of free space available along with the amount of memory used and swap memory in the system, and also the buffers used by the kernel"
